level,count,description
common,24,20 Entries
common,20,50 Entries
common,5,75 Entries
uncommon,5,100 Entries
uncommon,5,250 Entries
uncommon,1,$10 gift card!
uncommon,1,Bigfeet!
uncommon,20,Free Rerip!
uncommon,1,Mark Jackson!
uncommon,1,Sam Vincent!
legendary,1,1000 Entries!
legendary,1,Karnave Gets Dominos!
legendary,1,Payne Stewart
legendary,1,Sephiroth Card!
legendary,1,Money in the bank!
legendary,1,Soup of the day!
legendary,1,2 Wycked Front Half
legendary,1,2 Wycked Back Half
legendary,1,AI Rookie!
legendary,1,Sherman
legendary,1,PZ IV
legendary,1,IS-2
legendary,1,Tiger
legendary,1,T-34
legendary,1,Magic FF-SoA!
legendary,1,Pokemon Trainer!
legendary,1,Mod Derp for a day!
