Number,Title,Artist,Duration,Play Count,YouTube URL,Request Command
1,Bohemian Rhapsody,Queen,5:55,0,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,!srx 1
2,Smells Like Teen Spirit,Nirvana,5:01,0,https://www.youtube.com/watch?v=hTWKbfoikeg,!srx 2
3,Hotel California,Eagles,6:31,0,https://www.youtube.com/watch?v=BciS5krYL80,!srx 3
4,Stairway to Heaven,Led Zeppelin,8:02,0,https://www.youtube.com/watch?v=QkF3oxziUI4,!srx 4
5,Sweet Child O' Mine,Guns N' Roses,5:56,0,https://www.youtube.com/watch?v=1w7OgIMMRc4,!srx 5
6,Thunderstruck,AC/DC,4:52,0,https://www.youtube.com/watch?v=v2AC41dglnM,!srx 6
7,Welcome to the Jungle,Guns N' Roses,4:28,0,https://www.youtube.com/watch?v=o1tj2zJ2Wvg,!srx 7
8,Back in Black,AC/DC,4:15,0,https://www.youtube.com/watch?v=pAgnJDJN4VA,!srx 8
9,Whole Lotta Love,Led Zeppelin,5:34,0,https://www.youtube.com/watch?v=HQmmM_qwG4k,!srx 9
10,Black Dog,Led Zeppelin,4:57,0,https://www.youtube.com/watch?v=yBuub4Xe1mw,!srx 10
11,Kashmir,Led Zeppelin,8:36,0,https://www.youtube.com/watch?v=tzVJPgCn-Z8,!srx 11
12,Rock and Roll,Led Zeppelin,3:40,0,https://www.youtube.com/watch?v=uYSBDhIGOK8,!srx 12
13,All Along the Watchtower,Jimi Hendrix,4:01,0,https://www.youtube.com/watch?v=TLV4_xaYynY,!srx 13
14,Purple Haze,Jimi Hendrix,2:47,0,https://www.youtube.com/watch?v=WGoDaYjdfSg,!srx 14
15,Hey Joe,Jimi Hendrix,3:30,0,https://www.youtube.com/watch?v=W3JsuWz4xWc,!srx 15
16,The Wind Cries Mary,Jimi Hendrix,3:21,0,https://www.youtube.com/watch?v=hsKKKOt4dgg,!srx 16
17,Voodoo Child (Slight Return),Jimi Hendrix,5:14,0,https://www.youtube.com/watch?v=Tg3C0nvenD4,!srx 17
18,Enter Sandman,Metallica,5:31,0,https://www.youtube.com/watch?v=CD-E-LDc384,!srx 18
19,Master of Puppets,Metallica,8:35,0,https://www.youtube.com/watch?v=xnKhsTXoKCI,!srx 19
20,One,Metallica,7:26,0,https://www.youtube.com/watch?v=WM8bTdBs-cw,!srx 20
21,Nothing Else Matters,Metallica,6:28,0,https://www.youtube.com/watch?v=tAGnKpE4NCI,!srx 21
22,The Unforgiven,Metallica,6:27,0,https://www.youtube.com/watch?v=Ckom3gf57Yw,!srx 22
23,The Number of the Beast,Iron Maiden,4:52,0,https://www.youtube.com/watch?v=WxnN05vOuSM,!srx 23
24,Run to the Hills,Iron Maiden,3:49,0,https://www.youtube.com/watch?v=86URGgqONvA,!srx 24
25,Fear of the Dark,Iron Maiden,7:16,0,https://www.youtube.com/watch?v=bePCRKGUwAY,!srx 25
26,Aces High,Iron Maiden,4:31,0,https://www.youtube.com/watch?v=Xg9aQvjMS60,!srx 26
27,Hallowed Be Thy Name,Iron Maiden,7:11,0,https://www.youtube.com/watch?v=HAQQUDbuudY,!srx 27
28,Luv(sic) pt3,Nujabes,4:31,0,https://www.youtube.com/watch?v=UyoYf7rZVGI,!srx 28
29,Aruarian Dance,Nujabes,3:38,0,https://www.youtube.com/watch?v=TYRDgd3Tb44,!srx 29
30,Feather,Nujabes,2:54,0,https://www.youtube.com/watch?v=jfFTT3iz740,!srx 30
31,Luv(sic) pt2,Nujabes,5:01,0,https://www.youtube.com/watch?v=wGfguhnvECc,!srx 31
32,Shiki no Uta,Nujabes,3:21,0,https://www.youtube.com/watch?v=_sccg1CZzi4,!srx 32
33,Mass Appeal,Gang Starr,3:27,0,https://www.youtube.com/watch?v=y9lNbNGbo24,!srx 33
34,Moment of Truth,Gang Starr,3:10,0,https://www.youtube.com/watch?v=lH3hrtp1T84,!srx 34
35,Full Clip,Gang Starr,4:09,0,https://www.youtube.com/watch?v=UvNhUcTCzH8,!srx 35
36,Work,Gang Starr,3:33,0,https://www.youtube.com/watch?v=YQQ2StSwgvs,!srx 36
37,DWYCK,Gang Starr,4:24,0,https://www.youtube.com/watch?v=xcSmlSok32c,!srx 37
38,N.Y. State of Mind,Nas,4:54,0,https://www.youtube.com/watch?v=UKjj4hk0pV4,!srx 38
39,The World Is Yours,Nas,4:22,0,https://www.youtube.com/watch?v=_srvHOu75vM,!srx 39
40,Nas Is Like,Nas,3:48,0,https://www.youtube.com/watch?v=VC4ORS5n9Hg,!srx 40
41,If I Ruled the World,Nas,4:23,0,https://www.youtube.com/watch?v=NW55FRXlPEs,!srx 41
42,One Mic,Nas,4:22,0,https://www.youtube.com/watch?v=pgRnRb7tp1c,!srx 42
43,Ring of Fire,Johnny Cash,2:38,0,https://www.youtube.com/watch?v=mIBTg7q9oNc,!srx 43
44,Folsom Prison Blues,Johnny Cash,2:48,0,https://www.youtube.com/watch?v=AeZRYsDABa4,!srx 44
45,Hurt,Johnny Cash,3:38,0,https://www.youtube.com/watch?v=8AHCfZTRGiI,!srx 45
46,I Walk the Line,Johnny Cash,2:55,0,https://www.youtube.com/watch?v=KHF9itPLUo4,!srx 46
47,A Boy Named Sue,Johnny Cash,3:42,0,https://www.youtube.com/watch?v=WOHPuY88Ry4,!srx 47
48,The Trooper,Iron Maiden,4:12,0,https://www.youtube.com/watch?v=X4bgXH3sJ2Q,!srx 48
49,Man in Black,Johnny Cash,2:54,0,https://www.youtube.com/watch?v=dY8_vZXo8oY,!srx 49
50,Get Rhythm,Johnny Cash,2:20,0,https://www.youtube.com/watch?v=POdybe6_Sa4,!srx 50
51,Big River,Johnny Cash,2:26,0,https://www.youtube.com/watch?v=Kt2Ip4xdm3Y,!srx 51
52,Ghost Riders in the Sky,Johnny Cash,3:20,0,https://www.youtube.com/watch?v=Mynzbmrtp9I,!srx 52
53,c l o u d g o e s u p,DankMaus,2:15,0,https://www.youtube.com/watch?v=KqhfLTsEeZg,!srx 53
54,s t e a m e d h a m s,DankMaus,2:22,0,https://www.youtube.com/watch?v=Y4lnZr022M8,!srx 54
55,b a r t s i m p s o n,DankMaus,2:36,0,https://www.youtube.com/watch?v=sMRcIOjdojU,!srx 55
56,d u f f b e e r,DankMaus,2:08,0,https://www.youtube.com/watch?v=0wdRQW8WmVI,!srx 56
57,h o m e r s c r e a m,DankMaus,1:58,0,https://www.youtube.com/watch?v=yBLdQ1a4-JI,!srx 57
58,m o e s t a v e r n,DankMaus,2:25,0,https://www.youtube.com/watch?v=4rqZZgVxnCk,!srx 58
59,f l a n d e r s,DankMaus,2:12,0,https://www.youtube.com/watch?v=8Dd_qiuWxPs,!srx 59
60,k r u s t y b u r g e r,DankMaus,2:04,0,https://www.youtube.com/watch?v=TnzFRV1LwIo,!srx 60
61,s p r i n g f i e l d,DankMaus,2:18,0,https://www.youtube.com/watch?v=hFcLyDb6niA,!srx 61
62,d o h n u t s,DankMaus,2:31,0,https://www.youtube.com/watch?v=RCMXO8j7oQw,!srx 62
63,not lenny,DankMaus,2:43,0,https://www.youtube.com/watch?v=tKB4h9gvmm0,!srx 63
64,mixedvegetables,DankMaus,2:54,0,https://www.youtube.com/watch?v=nBHkIWAJitg,!srx 64
65,Old Time Rock and Roll,Bob Seger & The Silver Bullet Band,3:09,0,https://www.youtube.com/watch?v=2Hi-QzDaYvM,!srx 65
66,Night Moves,Bob Seger & The Silver Bullet Band,5:28,0,https://www.youtube.com/watch?v=_mRFWQoXq4c,!srx 66
67,Against the Wind,Bob Seger & The Silver Bullet Band,5:39,0,https://www.youtube.com/watch?v=hzTeLePbB08,!srx 67
68,Turn the Page,Bob Seger & The Silver Bullet Band,5:04,0,https://www.youtube.com/watch?v=3khH9ih2XJg,!srx 68
69,Hollywood Nights,Bob Seger & The Silver Bullet Band,4:59,0,https://www.youtube.com/watch?v=dd6fQzFWI14,!srx 69
70,Fortunate Son,Creedence Clearwater Revival,2:20,0,https://www.youtube.com/watch?v=ec0XKhAHR5I,!srx 70
71,Bad Moon Rising,Creedence Clearwater Revival,2:21,0,https://www.youtube.com/watch?v=5BmEGm-mraE,!srx 71
72,Proud Mary,Creedence Clearwater Revival,3:09,0,https://www.youtube.com/watch?v=5hid10EgMXE,!srx 72
73,Have You Ever Seen the Rain?,Creedence Clearwater Revival,2:40,0,https://www.youtube.com/watch?v=Gu2pVPWGYMQ,!srx 73
74,Down on the Corner,Creedence Clearwater Revival,2:44,0,https://www.youtube.com/watch?v=Aae_RHRptRg,!srx 74
75,Can't You See,The Marshall Tucker Band,6:06,0,https://www.youtube.com/watch?v=sLVXmT-Os_k,!srx 75
76,Heard It in a Love Song,The Marshall Tucker Band,4:23,0,https://www.youtube.com/watch?v=FfSGlhQd9u0,!srx 76
77,Fire on the Mountain,The Marshall Tucker Band,5:41,0,https://www.youtube.com/watch?v=8-D2keVn3K8,!srx 77
78,Long Hard Ride,The Marshall Tucker Band,6:08,0,https://www.youtube.com/watch?v=nVhNCTH8pDs,!srx 78
79,Searchin' for a Rainbow,The Marshall Tucker Band,5:20,0,https://www.youtube.com/watch?v=wwyXQn9g40I,!srx 79
80,Walk,Pantera,5:16,0,https://www.youtube.com/watch?v=AkFqg5wAuFk,!srx 80
81,Creeping Death,Metallica,6:37,0,https://www.youtube.com/watch?v=lXWq3f01e2U,!srx 81
82,For Whom the Bell Tolls,Metallica,5:09,0,https://www.youtube.com/watch?v=bg92QpjRcJk,!srx 82
83,Fade to Black,Metallica,6:58,1,https://www.youtube.com/watch?v=WEQnzs8wl6E,!srx 83
84,Seek & Destroy,Metallica,6:51,0,https://www.youtube.com/watch?v=NUAdgt5Glk0,!srx 84
85,Battery,Metallica,5:13,0,https://www.youtube.com/watch?v=md3B3I7Nmvw,!srx 85
86,Come as You Are,Nirvana,3:39,0,https://www.youtube.com/watch?v=vabnZ9-ex7o,!srx 86
87,In Bloom,Nirvana,4:14,0,https://www.youtube.com/watch?v=PbgKEjNBHqM,!srx 87
88,Lithium,Nirvana,4:17,0,https://www.youtube.com/watch?v=pkcJEvMcnEg,!srx 88
89,Heart-Shaped Box,Nirvana,4:41,0,https://www.youtube.com/watch?v=n6P0SitRwy8,!srx 89
90,About a Girl,Nirvana,2:48,0,https://www.youtube.com/watch?v=AhcttcXcRYY,!srx 90
91,When Worlds Collide,Powerman 5000,3:23,0,https://www.youtube.com/watch?v=lsV500W4BHU,!srx 91
92,Nobody's Real,Powerman 5000,3:21,0,https://www.youtube.com/watch?v=NDmmd6NRg5k,!srx 92
93,Supernova Goes Pop,Powerman 5000,3:10,0,https://www.youtube.com/watch?v=ZAp7eEQB_yc,!srx 93
94,Dreams Tonight,Uyama Hiroto,4:44,0,https://www.youtube.com/watch?v=EbZ7dor2cn0,!srx 94
95,Late Night Bumps,Adult Swim Bumps,3:00,0,https://www.youtube.com/watch?v=TeCM_7Lcx8U,!srx 95
96,Midnight City Vibes,Flying Lotus,3:15,0,https://www.youtube.com/watch?v=2lXD0vv-ds8,!srx 96
97,Adult Swim Bump Collection,Various Artists,4:00,0,https://www.youtube.com/watch?v=TDwutKpVyas,!srx 97
98,Chill Bump Session,Adult Swim,2:45,0,https://www.youtube.com/watch?v=McZ8yAmOFfE,!srx 98
99,If,Janet Jackson,4:31,0,https://www.youtube.com/watch?v=BxqBvzDCRIo,!srx 99
100,Like a Cat,AOA,3:22,0,https://www.youtube.com/watch?v=qEYOyZVWlzs,!srx 100
101,Heart Attack,AOA,3:45,0,https://www.youtube.com/watch?v=1pBgMBBsv4k,!srx 101
102,Short Hair,AOA,3:10,0,https://www.youtube.com/watch?v=N5wzkQvzp4c,!srx 102
103,Excuse Me,AOA,3:28,0,https://www.youtube.com/watch?v=NRlDo3JuzfM,!srx 103
104,Bingle Bangle,AOA,3:17,0,https://www.youtube.com/watch?v=ntWSnDV0MYs,!srx 104
105,Highway to Hell,AC/DC,3:28,0,https://www.youtube.com/watch?v=l482T0yNkeo,!srx 105
106,You Shook Me All Night Long,AC/DC,3:30,0,https://www.youtube.com/watch?v=Lo2qQmj0_h4,!srx 106
107,Dirty Deeds Done Dirt Cheap,AC/DC,3:56,0,https://www.youtube.com/watch?v=UIE4UjBtx-o,!srx 107
108,Hells Bells,AC/DC,5:12,0,https://www.youtube.com/watch?v=etAIpkdhU9Q,!srx 108
109,For Those About to Rock (We Salute You),AC/DC,5:44,0,https://www.youtube.com/watch?v=RukUetw0hAM,!srx 109
110,The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,6:15,0,https://www.youtube.com/watch?v=9vST6hVRj2A,!srx 110
111,The In Crowd,Ramsey Lewis Trio,3:12,0,https://www.youtube.com/watch?v=YQaAGsDQo_8,!srx 111
112,Wade in the Water,Ramsey Lewis Trio,3:55,0,https://www.youtube.com/watch?v=VOaZbaPzdsk,!srx 112
113,Hang on Sloopy,Ramsey Lewis Trio,2:48,0,https://www.youtube.com/watch?v=OCdMU2ZVw24,!srx 113
114,Estrelar,Marcos Valle,3:54,0,https://www.youtube.com/watch?v=3h8VHzlMEhY,!srx 114
115,Around the Bend,The Asteroid Galaxy Tour,3:33,0,https://www.youtube.com/watch?v=x5h-LAvQjeU,!srx 115
116,Golden Age,The Asteroid Galaxy Tour,3:06,0,https://www.youtube.com/watch?v=7Ganz8rfXpk,!srx 116
117,One More Time,Daft Punk,5:20,0,https://www.youtube.com/watch?v=FGBhQbmPwH8,!srx 117
118,Harder Better Faster Stronger,Daft Punk,3:45,0,https://www.youtube.com/watch?v=gAjR4_CbPpQ,!srx 118
119,Get Lucky,Daft Punk,6:08,0,https://www.youtube.com/watch?v=5NV6Rdv1a3I,!srx 119
120,Around the World,Daft Punk,7:09,0,https://www.youtube.com/watch?v=dwDns8x3Jb4,!srx 120
121,Digital Love,Daft Punk,5:01,0,https://www.youtube.com/watch?v=QOngRDVtEQI,!srx 121
122,Dancing Queen,ABBA,3:51,0,https://www.youtube.com/watch?v=xFrGuyw1V8s,!srx 122
123,Mamma Mia,ABBA,3:35,0,https://www.youtube.com/watch?v=unfzfe8f9NI,!srx 123
124,Fernando,ABBA,4:13,0,https://www.youtube.com/watch?v=dQsjAbZDx-4,!srx 124
125,Take a Chance on Me,ABBA,4:06,0,https://www.youtube.com/watch?v=-crgQGdpZR0,!srx 125
126,"Knowing Me, Knowing You",ABBA,4:04,0,https://www.youtube.com/watch?v=iUrzicaiRLU,!srx 126
127,Tom Sawyer,Rush,4:38,0,https://www.youtube.com/watch?v=auLBLk4ibAk,!srx 127
128,Limelight,Rush,4:25,0,https://www.youtube.com/watch?v=ZiRuj2_czzw,!srx 128
129,Freewill,Rush,5:21,0,https://www.youtube.com/watch?v=OnxkfLe4G74,!srx 129
130,The Spirit of Radio,Rush,4:57,0,https://www.youtube.com/watch?v=g_QtO0Rhpf8,!srx 130
131,Subdivisions,Rush,5:41,0,https://www.youtube.com/watch?v=EYYdQB0mkEU,!srx 131
132,I Don't Want to Set the World on Fire,The Ink Spots,3:00,1,https://www.youtube.com/watch?v=6l6vqPUM_FE,!srx 132
133,Butcher Pete (Part 1),Roy Brown,2:54,0,https://www.youtube.com/watch?v=EaGFPdP0-sg,!srx 133
134,"Civilization (Bongo, Bongo, Bongo)",The Andrews Sisters,3:08,0,https://www.youtube.com/watch?v=bgDF2xfcbv8,!srx 134
135,The Wanderer,Dion,2:32,0,https://www.youtube.com/watch?v=fzlVBBrcbWc,!srx 135
136,Atom Bomb Baby,The Five Stars,2:22,0,https://www.youtube.com/watch?v=KXSUEU7ISfQ,!srx 136
137,Blueberry Hill,Fats Domino,2:22,0,https://www.youtube.com/watch?v=HJf_7mV-4i0,!srx 137
138,Ain't That a Shame,Fats Domino,2:18,0,https://www.youtube.com/watch?v=gyFUYb3vn90,!srx 138
139,I'm Walkin',Fats Domino,2:14,0,https://www.youtube.com/watch?v=T0gU-2aOS5k,!srx 139
140,My Blue Heaven,Fats Domino,2:25,0,https://www.youtube.com/watch?v=bQQCPrwKzdo,!srx 140
141,Sacr̩ Fran̤ais,Yesterday's New Quintet,3:15,0,https://www.youtube.com/watch?v=9N75lnfkdfo,!srx 141
142,Angles Without Edges,Yesterday's New Quintet,2:48,0,https://www.youtube.com/watch?v=VqzXHYMfhbU,!srx 142
143,Amor,Yesterday's New Quintet,3:03,0,https://www.youtube.com/watch?v=JJfuxKGKdsY,!srx 143
144,Pale Reflection,Yonderboi,4:47,0,https://www.youtube.com/watch?v=7kXDNBaWcRU,!srx 144
145,Antes,Yonderboi,3:54,0,https://www.youtube.com/watch?v=AAhCfN9dPiA,!srx 145
146,Come On,Yonderboi,3:18,0,https://www.youtube.com/watch?v=1AfVYKR3Ftw,!srx 146
147,Tonite Is a Special Nite,DJ Quik,4:05,0,https://www.youtube.com/watch?v=QFcgYV0NqOE,!srx 147
148,Safe + Sound,DJ Quik,4:47,0,https://www.youtube.com/watch?v=Z6kky3k-MVk,!srx 148
149,Summer Breeze,DJ Quik,4:23,0,https://www.youtube.com/watch?v=5f7b_3bdizA,!srx 149
150,Never Gonna Give You Up,Rick Astley,3:33,0,https://www.youtube.com/watch?v=dQw4w9WgXcQ,!srx 150
151,Big River (Studio Version),Johnny Cash,2:26,0,https://www.youtube.com/watch?v=OCCj706s1CA,!srx 151
152,Who Knows,Protoje,3:54,0,https://www.youtube.com/watch?v=VBuG1zT5AuI,!srx 152
153,Protection,Protoje,4:47,0,https://www.youtube.com/watch?v=lw_P5OvZ02s,!srx 153
154,Arguments,Protoje,4:16,0,https://www.youtube.com/watch?v=5TIylnv3Zq0,!srx 154
155,Switch It Up,Protoje,3:18,0,https://www.youtube.com/watch?v=yRk4f0F_XCo,!srx 155
156,Chronology,Chronixx,4:27,0,https://www.youtube.com/watch?v=yRJk0bFNDQs,!srx 156
157,Here Comes Trouble,Chronixx,3:43,0,https://www.youtube.com/watch?v=yRJk0bFNDQs,!srx 157
158,Skankin' Sweet,Chronixx,4:01,0,https://www.youtube.com/watch?v=P1hi6ajAhJg,!srx 158
159,Spanish Town Rockin',Chronixx,3:09,0,https://www.youtube.com/watch?v=CqP8zWS3t4Q,!srx 159
160,Kingston Town,Alborosie,4:05,0,https://www.youtube.com/watch?v=yupC8bTqCTk,!srx 160
161,Herbalist,Alborosie,3:18,0,https://www.youtube.com/watch?v=FiZdZRu6BjI,!srx 161
162,Poser,Alborosie,3:33,0,https://www.youtube.com/watch?v=4tXGr3diJp4,!srx 162
163,Mama She Don't Like You,Alborosie,4:27,0,https://www.youtube.com/watch?v=BsTTboE1TsI,!srx 163
164,Lion Order,Jesse Royal,3:54,0,https://www.youtube.com/watch?v=2QDlE89W-5g,!srx 164
165,Hold Firm,Collie Buddz,4:38,0,https://www.youtube.com/watch?v=vofff0Ei3kk,!srx 165
166,Love & Reggae,Collie Buddz,3:23,0,https://www.youtube.com/watch?v=K9RaYhzaNsE,!srx 166
167,C.R.E.A.M.,Wu-Tang Clan,4:13,0,https://www.youtube.com/watch?v=PBwAxmrE194,!srx 167
168,Protect Ya Neck,Wu-Tang Clan,4:52,0,https://www.youtube.com/watch?v=R0IUR4gkPIE,!srx 168
169,Da Mystery of Chessboxin',Wu-Tang Clan,4:47,1,https://www.youtube.com/watch?v=pJk0p-98Xzc,!srx 169
